Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
5,28600000	-0,17522955	0,01240176	0,01095572	0,00000000
5,28700000	0,15962692	0,11820424	-0,00298792	0,00000000
5,28800000	0,03696623	0,07583157	-0,02365439	0,00000000
5,28900000	0,01308221	-0,08216164	0,06847324	0,00000000
5,29000000	0,12986190	-0,09856813	0,01879902	0,00000000
5,29100000	-0,34325788	-0,05451605	-0,02103996	0,00000000
5,29200000	0,02388403	0,06097530	-0,02303191	0,00000000
5,29300000	0,30293108	0,08758740	0,02153795	0,00000000
5,29400000	-0,08041356	-0,00633006	-0,00697182	0,00000000
5,29500000	-0,17018870	-0,09934324	0,01904801	0,00000000
5,29600000	0,14486443	0,04456881	-0,04718429	0,00000000
5,29700000	0,06757139	-0,01511464	0,04083495	0,00000000
5,29800000	0,07981346	0,00000000	0,03635307	0,00000000
5,29900000	-0,13406260	-0,03475075	-0,01879902	0,00000000
5,30000000	-0,02724459	0,10631922	-0,03685105	0,00000000
5,30100000	0,16022702	0,07634831	0,01830103	0,00000000
5,30200000	-0,10561781	0,01911937	0,02664231	0,00000000
5,30300000	-0,06313064	-0,22439428	0,02278291	0,00000000
5,30400000	0,16550791	-0,05929590	-0,06747726	0,00000000
5,30500000	-0,12722145	0,02506188	0,03473461	0,00000000
5,30600000	0,21687657	0,08539126	0,08515581	0,00000000
5,30700000	0,00048008	0,05464524	-0,02240942	0,00000000
5,30800000	-0,11797989	0,01976530	-0,06087893	0,00000000
5,30900000	-0,06613115	-0,04754007	0,01145371	0,00000000
5,31000000	0,16502783	0,00232533	0,04008797	0,00000000
5,31100000	-0,31625332	-0,16755290	-0,00473088	0,00000000
5,31200000	0,23607981	-0,02234900	-0,03535709	0,00000000
5,31300000	0,14318414	0,12673045	-0,00435739	0,00000000
5,31400000	-0,09745643	0,05645383	0,08988669	0,00000000
5,31500000	0,13070204	0,13060600	0,02776279	0,00000000
5,31600000	-0,13142216	-0,06704700	-0,05017221	0,00000000
5,31700000	-0,13718313	-0,11264929	-0,01929700	0,00000000
5,31800000	0,01860314	-0,05593709	0,02763829	0,00000000
5,31900000	0,03000506	0,01614812	0,02390339	0,00000000
5,32000000	-0,03468585	-0,00865539	-0,00547786	0,00000000
5,32100000	0,15494613	0,09042947	-0,05627255	0,00000000
5,32200000	0,01236208	-0,02997091	0,04046146	0,00000000
5,32300000	0,13562287	-0,03449238	0,02676681	0,00000000
5,32400000	-0,30341116	-0,02609536	-0,02527285	0,00000000
5,32500000	-0,09925674	-0,01085154	-0,06212390	0,00000000
5,32600000	0,27112572	0,06820966	-0,00697182	0,00000000
5,32700000	-0,16658809	0,08074060	0,02863426	0,00000000
5,32800000	0,04932832	-0,03074602	0,03722454	0,00000000
5,32900000	0,15254572	-0,00658843	-0,04071045	0,00000000
5,33000000	-0,16730821	-0,03539668	0,01705606	0,00000000
5,33100000	0,11485937	-0,06911395	0,08552930	0,00000000
5,33200000	0,04488757	-0,09663035	-0,01506411	0,00000000
5,33300000	0,04740799	0,05064051	-0,05814000	0,00000000
5,33400000	-0,22023714	0,06226715	0,02141345	0,00000000
5,33500000	0,10813823	0,17026578	0,01742955	0,00000000
5,33600000	-0,08305400	-0,07776935	-0,00348591	0,00000000
5,33700000	0,27616657	-0,03746364	-0,02178694	0,00000000
5,33800000	-0,19467282	-0,01382279	-0,05826450	0,00000000
5,33900000	0,05568939	-0,01588975	0,09511555	0,00000000
5,34000000	0,14954522	0,04095163	0,03373863	0,00000000
5,34100000	-0,19503289	-0,03242543	-0,05241315	0,00000000
5,34200000	0,04848818	0,08913762	-0,04170643	0,00000000
5,34300000	0,15554623	0,05244909	0,05502758	0,00000000
5,34400000	-0,29717011	-0,12052957	0,04133294	0,00000000
5,34500000	0,16766827	-0,11742913	-0,02340540	0,00000000
5,34600000	0,14066372	0,01188502	-0,03934099	0,00000000
5,34700000	-0,06085026	0,07466891	0,07693902	0,00000000
5,34800000	0,05160870	0,11303684	0,03062621	0,00000000
5,34900000	0,05664955	0,03475075	-0,04407187	0,00000000
5,35000000	-0,18255078	-0,04624822	-0,04506784	0,00000000
5,35100000	-0,06109030	-0,07286032	0,01531311	0,00000000
5,35200000	0,02880486	-0,00477984	0,02328090	0,00000000
5,35300000	-0,04380739	-0,13370644	0,01269867	0,00000000
5,35400000	0,29969053	0,07131010	-0,05540108	0,00000000
5,35500000	-0,22623815	0,09843894	0,03000373	0,00000000
5,35600000	0,10945846	0,04598985	0,08415984	0,00000000
5,35700000	0,07153206	0,01433953	0,00124497	0,00000000
5,35800000	-0,18639143	-0,11484543	-0,06212390	0,00000000
5,35900000	-0,00480081	-0,00426310	-0,00149396	0,00000000
5,36000000	0,02856482	0,00555495	0,02128895	0,00000000
5,36100000	-0,02976502	-0,00839702	0,03510810	0,00000000
5,36200000	0,02688453	0,00064592	-0,02228493	0,00000000
